FID,Id,ORIG_FID,Id_1,typ,x,y
395,0,3,0,mark,217.1390076,-81.6873016
396,0,3,0,mark,217.8099976,-80.7773972
397,0,3,0,mark,218.4799957,-79.8675003
398,0,3,0,mark,219.1510010,-78.9576035
399,0,3,0,mark,219.8209991,-78.0476990
400,0,3,0,mark,220.4909973,-77.1378021
401,0,3,0,mark,221.1620026,-76.2279968
402,0,3,0,mark,221.8320007,-75.3181000
403,0,3,0,mark,222.5030060,-74.4082031
404,0,3,0,mark,223.3059998,-73.6213989
405,0,3,0,mark,224.1640015,-72.8859024
406,0,3,0,mark,225.0220032,-72.1503983
407,0,3,0,mark,225.8800049,-71.4148026
408,0,3,0,mark,226.7380066,-70.6792984
409,0,3,0,mark,227.5959930,-69.9437027
410,0,3,0,mark,228.4550018,-69.2081985
411,0,3,0,mark,229.3130035,-68.4727020
412,0,3,0,mark,230.2480011,-69.0210037
413,0,3,0,mark,231.1889954,-69.6479034
414,0,3,0,mark,232.1289978,-70.2749023
415,0,3,0,mark,233.0700073,-70.9018021
416,0,3,0,mark,234.0099945,-71.5287018
417,0,3,0,mark,234.9499969,-72.1557007
418,0,3,0,mark,235.3309937,-73.1856995
419,0,3,0,mark,235.6289978,-74.2761002
420,0,3,0,mark,235.9259949,-75.3665009
421,0,3,0,mark,236.2239990,-76.4569016
422,0,3,0,mark,236.5209961,-77.5472031
423,0,3,0,mark,236.8179932,-78.6376038
424,0,3,0,mark,237.1159973,-79.7279968
425,0,3,0,mark,237.4129944,-80.8183975
426,0,3,0,mark,237.7109985,-81.9087982
427,0,3,0,mark,237.9949951,-83.0024033
428,0,3,0,mark,238.2460022,-84.1044998
429,0,3,0,mark,238.4960022,-85.2065964
430,0,3,0,mark,238.7469940,-86.3087006
431,0,3,0,mark,238.9969940,-87.4107971
432,0,3,0,mark,239.2480011,-88.5129013
433,0,3,0,mark,239.4980011,-89.6150970
434,0,3,0,mark,239.7489929,-90.7172012
435,0,3,0,mark,239.9989929,-91.8192978
436,0,3,0,mark,240.2500000,-92.9214020
437,0,3,0,mark,240.5000000,-94.0234985
438,0,3,0,mark,240.7510071,-95.1256027
439,0,3,0,mark,241.0010071,-96.2277985
440,0,3,0,mark,241.2519989,-97.3299026
441,0,3,0,mark,241.5019989,-98.4319992
442,0,3,0,mark,241.7530060,-99.5341034
443,0,3,0,mark,242.0030060,-100.6360016
444,0,3,0,mark,242.2539978,-101.7379990
445,0,3,0,mark,242.5039978,-102.8399963
