Easting,Northing,fuffens,r,g,b,Name
654329.5310611221,7556620.885388075,1336.4129709734932,248,57,4,2
654328.9951349351,7556600.634657747,1334.9702313955079,248,57,4,2
654328.4838582642,7556579.973365363,1334.2188945952844,248,57,4,2
654328.0396238064,7556558.8946848735,1332.6103575742188,248,57,4,2
654327.2804771415,7556537.291386859,1331.3121245075336,248,57,4,2
654325.9381906475,7556515.2597266985,1330.3219257695316,248,57,4,2
654178.7975328502,7556543.402630428,1341.9973039046224,248,57,4,2
654174.5888392443,7556565.887486175,1343.0876295208984,248,57,4,2
654170.15719172,7556588.415146155,1344.9300318170574,248,57,4,2
654165.6347624415,7556611.115293492,1346.9058121410155,248,57,4,2
654161.1564047148,7556634.01474961,1348.9771839443358,248,57,4,2
654156.3680695228,7556657.007973608,1351.0683897708984,248,57,4,2
654151.2934787399,7556680.049577741,1352.8195651826172,248,57,4,2
654145.7023006573,7556703.013340273,1355.0007299154731,248,57,4,2
654139.6269168961,7556725.82630675,1357.3396737199434,248,57,4,2
654133.2083458848,7556748.412659093,1360.4240198466796,248,57,4,2
654126.7167096542,7556770.760514622,1362.9448952056641,248,57,4,2
654120.477156451,7556793.048599117,1365.8996103487414,248,57,4,2
654114.4906797983,7556815.202036664,1368.5793856714845,248,57,4,2
654108.6971347915,7556837.348336943,1371.393699517578,248,57,4,2
654103.0286593521,7556859.277404463,1373.3484746222655,248,57,4,2
654097.2438486974,7556881.105848744,1374.249599425651,248,57,4,2
654090.7762189857,7556902.537453319,1375.406464774023,248,57,4,2
654083.0746651265,7556922.612052244,1377.2619869104492,248,57,4,2
654073.2891140517,7556940.45455691,1378.931570716309,248,57,4,2
654060.9589242474,7556955.288152574,1381.1963293037106,248,57,4,2
654046.5049880655,7556966.220406678,1383.5168979277344,248,57,4,2
653972.5913337021,7556935.3314611735,1396.058842524414,248,57,4,2
653968.8260757946,7556917.902742535,1396.8789440240234,248,57,4,2
653967.3303724567,7556898.681010213,1397.8170244111332,248,57,4,2
653967.0689449129,7556878.887134945,1398.0249130029295,248,57,4,2
653967.8827109,7556858.549036295,1399.0910591738282,248,57,4,2
653969.4978406277,7556837.566007705,1398.8147627615235,248,57,4,2
653971.4475172544,7556816.546843418,1398.605344842773,248,57,4,2
653973.7054031673,7556795.405701299,1397.9986876725259,248,57,4,2
653976.4179694204,7556773.917234295,1397.585686107422,248,57,4,2
653979.2017965263,7556751.824330604,1396.7406403291016,248,57,4,2
653981.695639626,7556729.433105747,1391.4439798501255,248,57,4,2
653984.1687595682,7556706.862705773,1384.0405811754556,248,57,4,2
653986.5065355718,7556684.040719133,1381.2089572184243,248,57,4,2
653988.6567978265,7556661.02018127,1379.9984206822269,248,57,4,2
653991.1355202389,7556637.832056943,1379.0864130813802,248,57,4,2
653993.542468642,7556614.4991573235,1377.4751694234376,248,57,4,2
653995.954597918,7556591.138470273,1376.231672961263,248,57,4,2
653998.1528203061,7556567.727505694,1374.7580511637368,248,57,4,2
653999.9795491598,7556544.209977843,1373.0892300981445,248,57,4,2
654001.4839799927,7556520.757396315,1372.4811430844727,248,57,4,2
654002.4244467474,7556497.139896309,1371.8627700375976,248,57,4,2
654003.007893092,7556473.407338788,1371.201502157715,248,57,4,2
654003.6646733688,7556449.735366408,1370.3514598032225,248,57,4,2
654004.4708444037,7556425.847607799,1368.1027537781574,248,57,4,2
654005.349273358,7556401.804975139,1364.6389261339393,248,57,4,2
654006.4886775268,7556377.553247573,1361.118842092936,248,57,4,2
654007.8890188782,7556353.326531053,1357.7569901276042,248,57,4,2
654009.5717885054,7556329.116751721,1354.065367690918,248,57,4,2
654011.3729365177,7556305.091993713,1352.3144378818358,248,57,4,2
653900.8021182355,7556397.972388192,1361.9937845498046,248,57,4,2
653896.3940719005,7556421.897115916,1361.905886910807,248,57,4,2
653891.5521860652,7556445.880122895,1362.311644100586,248,57,4,2
653886.794207831,7556469.690240958,1362.9815951416015,248,57,4,2
653881.9910970293,7556493.553845046,1364.0048447763672,248,57,4,2
653877.4233498733,7556517.169339275,1364.606248381836,248,57,4,2
653873.0637003371,7556541.050161656,1365.1990489055988,248,57,4,2
653868.8433658329,7556565.351375209,1365.8548761289062,248,57,4,2
653864.8089134553,7556590.113230943,1367.5758959478235,248,57,4,2
653861.217378439,7556615.191933043,1369.4582225999347,248,57,4,2
653858.108381804,7556640.393196979,1371.5484066199776,248,57,4,2
653855.2600658631,7556665.507071367,1373.6360974370814,248,57,4,2
653852.3152777171,7556690.596430252,1376.3676767674006,248,57,4,2
653849.1906404215,7556715.534554262,1380.1733342437742,248,57,4,2
653845.8441995921,7556740.262732533,1384.939326638086,248,57,4,2
653841.5509915364,7556764.559597083,1389.625433689904,248,57,4,2
653835.3414683643,7556787.439961184,1394.0752658647461,248,57,4,2
653826.4791064743,7556807.941994268,1398.6705954591973,248,57,4,2
653814.8487068019,7556825.478187428,1402.3630352262835,248,57,4,2
653800.6956661365,7556839.398403867,1405.2119562894532,248,57,4,2
653784.6199216666,7556849.148647153,1407.1241444995114,248,57,4,2
653767.0968910842,7556853.8584163375,1408.9691870419922,248,57,4,2
653748.9731993437,7556853.409885365,1411.0520499179688,248,57,4,2
653731.7434269595,7556849.2504344685,1412.254948524414,248,57,4,2
653715.7632172917,7556841.457517121,1414.04337278125,248,57,4,2
653701.9118534698,7556829.952652533,1415.2304582910156,248,57,4,2
653691.4387680208,7556814.20189001,1416.5423167158206,248,57,4,2
653684.8497620067,7556795.574620763,1417.9018776269531,248,57,4,2
653682.1724025636,7556775.364750924,1418.5916306416016,248,57,4,2
653682.8025025857,7556754.023083213,1418.7448432670901,248,57,4,2
653686.301601137,7556733.031053796,1418.8422171054688,248,57,4,2
653691.9365546503,7556712.129405601,1418.2585078020834,248,57,4,2
653699.1087771985,7556690.973301752,1416.6619073574218,248,57,4,2
653706.7324315808,7556669.057595098,1415.4796362679035,248,57,4,2
653714.6115014325,7556645.799331552,1413.90308604362,248,57,4,2
653721.3721754047,7556621.762415743,1410.9499392959735,248,57,4,2
653726.7044838907,7556597.79919634,1405.2428629322915,248,57,4,2
653731.3680451503,7556573.552477795,1398.7705973841144,248,57,4,2
653735.6917989523,7556549.313507212,1392.1417172584634,248,57,4,2
653740.0746257431,7556524.7315863175,1386.0555223378906,248,57,4,2
653744.8613709542,7556500.4173316015,1379.983648455078,248,57,4,2
653556.7174610092,7558744.612728875,1292.8429397713448,248,57,4,3
653539.7559027716,7558744.889827855,1297.4953944316405,248,57,4,3
653522.9368813485,7558745.297314026,1301.4933328020834,248,57,4,3
653506.2309995457,7558745.917698878,1303.460278834961,248,57,4,3
653489.6590202515,7558746.696036156,1307.2943510322266,248,57,4,3
653473.0437412862,7558747.322055837,1310.4458275136715,248,57,4,3
653456.9867027481,7558747.616349419,1313.7757647259116,248,57,4,3
653441.2467465352,7558746.993260575,1315.5392562216796,248,57,4,3
653425.6332113337,7558745.834672341,1316.3666574589845,248,57,4,3
653410.1381242237,7558744.449156762,1318.8634471660155,248,57,4,3
653394.7516951385,7558743.351162078,1321.6943381259766,248,57,4,3
653379.5801037435,7558742.518958072,1323.4229424462892,248,57,4,3
653364.6690655978,7558741.889702957,1324.9665261044922,248,57,4,3
653349.7124565131,7558741.379555818,1326.2556288974608,248,57,4,3
653334.8696991529,7558740.660908942,1328.0671071757808,248,57,4,3
653319.9547715614,7558739.629007528,1329.0342052275391,248,57,4,3
653305.002493694,7558738.52005063,1330.453315538086,248,57,4,3
653290.1505375807,7558737.3703526165,1331.6233904121093,248,57,4,3
653275.1054479998,7558736.059358467,1332.2915130078125,248,57,4,3
653259.7380583797,7558734.701111343,1333.430677618164,248,57,4,3
653244.1886821876,7558733.229077081,1334.241953263672,248,57,4,3
653228.8144446993,7558731.926804427,1334.6939211611327,248,57,4,3
653213.5203203179,7558730.863514051,1335.6205006914065,248,57,4,3
653198.3757013326,7558729.930976946,1337.2928010830078,248,57,4,3
653183.2379074009,7558728.942751566,1338.2781036513672,248,57,4,3
653168.1108397624,7558728.067638602,1339.980518933594,248,57,4,3
653152.831188911,7558727.230317983,1341.5090322350259,248,57,4,3
653137.580377521,7558726.319899897,1343.1130807548827,248,57,4,3
653122.4747221486,7558724.734626342,1344.571610484375,248,57,4,3
653107.9661753414,7558721.227905776,1346.2434491217448,248,57,4,3
653094.725586109,7558715.0437608715,1347.3389922786455,248,57,4,3
653083.8325197743,7558705.900130216,1348.8461994648435,248,57,4,3
653076.0504234096,7558694.067258057,1350.1044994964193,248,57,4,3
653072.2725333761,7558680.160310117,1350.416590790039,248,57,4,3
653073.0309951715,7558665.456490967,1350.268484375,248,57,4,3
653079.1698135879,7558650.811491245,1349.1603744218746,248,57,4,3
653090.5261017842,7558637.198895906,1347.9877372890626,248,57,4,3
653105.7732231943,7558624.530246139,1346.63125303125,248,57,4,3
653124.9754667127,7558612.959276839,1345.5053645283206,248,57,4,3
653146.8866838373,7558602.102649859,1343.6445134083658,248,57,4,3
653170.8978124767,7558592.382928183,1341.4790494853517,248,57,4,3
653196.7397809202,7558583.915211101,1338.3375683740235,248,57,4,3
653223.9627324999,7558575.567689587,1334.4451842507326,248,57,4,3
653252.5462096111,7558567.03949812,1332.0141299996747,248,57,4,3
653769.6561085118,7558638.202044387,1287.7687063020833,248,57,4,3
653744.6578115504,7558635.8235568125,1290.7486566484374,248,57,4,3
653719.7928564769,7558633.378393045,1294.3271524541015,248,57,4,3
653695.280836745,7558630.935879912,1297.9039381474608,248,57,4,3
653670.8668068042,7558628.95834781,1301.2666760195314,248,57,4,3
653646.9922601457,7558627.313015066,1304.5985912158205,248,57,4,3
653623.6817526959,7558625.823426383,1307.296032625,248,57,4,3
653600.5463726285,7558624.503742691,1310.3963500576174,248,57,4,3
653577.6960787184,7558623.210685499,1313.8956158427734,248,57,4,3
653555.1071380887,7558621.23113212,1316.2191408242188,248,57,4,3
653532.7039267293,7558619.24416904,1318.901543383789,248,57,4,3
653510.6682643364,7558617.541600968,1321.1667095654298,248,57,4,3
653488.9568131842,7558616.205120906,1323.0907141103517,248,57,4,3
653467.1997952136,7558614.7537164325,1325.7099340585935,248,57,4,3
653445.2875387382,7558613.208927982,1328.0169066015626,248,57,4,3
653423.9230031364,7558612.268326297,1329.763174788086,248,57,4,3
653402.8605651165,7558611.4208770925,1332.505086474284,248,57,4,3
653381.5686447697,7558610.02611012,1334.5270782431642,248,57,4,3
653360.4691620725,7558608.511905138,1336.6129190641275,248,57,4,3
653339.6799933861,7558606.894698901,1338.5247695800779,248,57,4,3
653319.3404808134,7558605.416905521,1340.3986902913412,248,57,4,3
