time,Easting,Northing,Altitude,mark,glacier,fuffens,Name
2017-04-07 13:13:27,653834.6033180967,7556560.780866162,1495.522675751953,,1446.59033203125,1375.0083341595052,erik1
2017-04-07 13:13:28,653815.3391632349,7556555.328522935,1497.833402705078,,1448.0931396484375,1374.7043826881975,erik1
2017-04-07 13:13:29,653796.4040589748,7556547.302043311,1500.4978314648438,,1449.73291015625,1374.4723161659226,erik1
2017-04-07 13:13:30,653777.9567692985,7556535.56843889,1503.1868609375,,1451.3951416015625,1374.0602752165526,erik1
2017-04-07 13:13:31,653761.1843319117,7556519.936574532,1505.6103672949218,,1452.9971923828125,1373.660864470703,erik1
2017-04-07 13:13:32,653746.2367638475,7556500.237470861,1508.4612881054688,,1454.8212890625,1374.4087491368816,erik1
2017-04-07 13:13:33,653734.2412429224,7556477.222194518,1511.3612104101562,,1456.33203125,1375.405959856608,erik1
2017-04-07 13:13:34,653728.0606252009,7556450.472106532,1514.2651846484375,,1457.746337890625,1376.8515160195313,erik1
2017-04-07 13:13:35,653727.3880272896,7556420.614941189,1516.7383006787109,,1458.3779296875,,erik1
2017-04-07 13:13:36,653729.5468709385,7556390.571406638,1520.3536513532365,,1458.6099853515625,,erik1
2017-04-07 13:13:37,653737.6182856289,7556360.2543905685,1523.83537703125,,1459.2105712890625,,erik1
2017-04-07 13:13:38,653753.0136893723,7556331.050108149,1525.3220450976562,,1459.1204833984375,,erik1
2017-04-07 13:13:39,653778.4392449027,7556306.098652513,1525.920654609375,,1458.142333984375,,erik1
2017-04-07 13:13:40,653806.7562504674,7556285.871787555,1525.6571288085938,,1456.32373046875,,erik1
2017-04-07 13:13:41,653836.4086488518,7556267.953958985,1525.3438476757813,,1454.47802734375,,erik1
2017-04-07 13:13:42,653858.3558207226,7556255.877242862,1525.4818605273438,,1453.0836181640625,,erik1
2017-04-07 13:13:43,653920.0239587761,7556250.825779932,1521.4836170214844,,1448.1295166015625,,erik1
2017-04-07 13:13:44,653960.3533404348,7556247.287148115,1519.2992441601561,,1445.3712158203125,,erik1
2017-04-07 13:13:45,653999.8337782805,7556245.94576988,1516.7109382324218,,1442.314453125,,erik1
2017-04-07 13:13:46,654041.1348286425,7556247.91690846,1513.5554920800782,1355.360182538607,1439.3673095703125,,erik1
2017-04-07 13:13:47,654082.1420886858,7556252.802228416,1510.074609873047,1357.8001767939454,1436.21484375,,erik1
2017-04-07 13:13:48,654124.1887311081,7556259.726546178,1505.6742184570312,1361.0281523524577,1432.142578125,,erik1
2017-04-07 13:13:49,654167.0451103558,7556267.908213159,1502.0267814355468,1365.9789690332495,1428.8238525390625,,erik1
2017-04-07 13:13:50,654210.585455291,7556277.517656805,1497.7536374609374,1368.5035249091795,1424.7877197265625,,erik1
2017-04-07 13:13:51,654254.5138606377,7556288.003353107,1493.47815140625,1369.6163242904574,1420.4674072265625,,erik1
2017-04-07 13:13:52,654299.365406098,7556298.554658452,1489.0205315820313,1370.1813527098213,1415.9561767578125,,erik1
2017-04-07 13:13:53,654345.0399577874,7556309.09066961,1483.8793934765624,1370.8914766534745,1410.57421875,,erik1
2017-04-07 13:13:54,654407.479521405,7556322.367910902,1478.6359864453125,1372.680327755445,1404.420166015625,,erik1
2017-04-07 13:13:55,654447.2717856874,7556330.590535686,1474.7416259179688,1376.5449239195823,1399.6153564453125,,erik1
2017-04-07 13:13:56,654487.0640499699,7556338.813160471,1470.4581540917968,1378.8223355886066,1394.603271484375,,erik1
2017-04-07 13:13:57,654535.5693994354,7556347.415852376,1465.8576454101562,1378.653215109375,1389.4566650390625,,erik1
2017-04-07 13:13:58,654584.6975118173,7556354.970657645,1476.0076629264936,1387.5037215752861,,,erik1
2017-04-07 13:13:59,654634.6208108676,7556360.242448442,1473.1176629264935,1394.4799880241496,,,erik1
2017-04-07 13:14:00,654685.0714908894,7556362.9154574135,1470.7176629264936,1397.3745960612594,,,erik1
2017-04-07 13:14:01,654736.7730352986,7556362.658719845,1467.3476629264935,1390.7233278796184,,,erik1
2017-04-07 13:14:02,654788.3209104711,7556361.063933026,1464.9476629264936,1384.3470529264937,,,erik1
2017-04-07 13:14:03,654839.728358236,7556358.028890216,1463.9876629264936,1377.3851948174738,,,erik1
2017-04-07 13:14:04,654891.022867175,7556354.491701974,1461.5876629264935,1368.03059664986,,,erik1
2017-04-07 13:14:05,654942.1428485591,7556350.139616022,1459.6576629264937,1359.8019985514936,,,erik1
2017-04-07 13:14:06,654992.8768879278,7556344.99731074,1456.7776629264936,1351.9115082110918,,,erik1
2017-04-07 13:14:07,655043.0109681713,7556339.248514778,1455.8176629264935,1346.7727709036142,,,erik1
